"clustid" "x1" "x2" "x3" "inclusion" "g"
"24" 288 0 25.3999996185303 8 TRUE NA
"25" 288 0 33.7625002861023 8 TRUE NA
"82" 349 201.173270932511 27.9717648503332 17 TRUE "b"
"83" 349 188.872908398536 35.1142857415335 14 TRUE "b"
"84" 349 0 25.2999992370605 1 TRUE "b"
"85" 349 0 0 0 TRUE "b"
"121" 427 0 7.90000009536743 2 TRUE "b"
"122" 427 432.872694412096 22.4062518790844 9 TRUE "b"
"131" 434 421.25413177969 16.3514138733965 13 TRUE "b"
"181" 505 268.838506041169 32.2400540497758 8 TRUE NA
"182" 505 337.873920110837 32.7994306089232 6 TRUE NA
"183" 505 0 0 0 TRUE NA
"184" 505 849.021762482566 29.0882350697237 17 TRUE NA
"203" 515 0 18.2 10 TRUE "a"
"237" 592 943.831129394645 35.0153168096375 17 TRUE NA
"238" 592 0 31.4999993642171 3 TRUE NA
"260" 601 599.878912773293 25.0283252900644 8 TRUE NA
"261" 601 226.891831064106 29.220008923292 3 TRUE NA
"262" 601 347.142029535602 30.6121902075913 5 TRUE NA
"308" 633 688.974265524265 37.103464170217 10 TRUE "b"
"331" 669 0 33.9571429661342 7 TRUE NA
"332" 669 0 17.3999996185303 1 TRUE NA
"333" 669 0 9.9333332379659 3 TRUE NA
"334" 669 0 30.9972365570567 8 TRUE NA
"356" 681 699.033545668974 34.342758201354 11 TRUE NA
"357" 681 113.333127772656 32.3000000544957 7 TRUE NA
"358" 681 237.898765292522 28.8285715920585 7 TRUE NA
"359" 681 861.67110885615 30.866873869588 17 TRUE NA
"412" 719 20.1246038898561 4.94999980926514 2 TRUE "b"
"413" 719 0 0 0 TRUE "b"
"414" 720 385.129063347051 15.1461536700909 13 TRUE NA
"415" 720 0 0 0 TRUE NA
"461" 801 54.3340446723287 28.889999961853 10 TRUE NA
"462" 801 0 25.1909386826454 9 TRUE NA
"463" 801 43.455705135284 22.2999992370605 1 TRUE NA
"554" 882 0 27.600061782527 4 TRUE "b"
"555" 882 0 35.7183367728755 8 TRUE "b"
"556" 882 0 21.7500007152557 2 TRUE "b"
"557" 882 0 38.4911386251095 4 TRUE "b"
"633" 932 0 15.4125002622604 8 TRUE "b"
"656" 954 445.434787769666 37.3428576333182 7 TRUE "a"
"657" 954 685.304928564354 36.1416662534078 12 TRUE "a"
"658" 954 362.645503431083 44.5999992370605 6 TRUE "a"
"659" 954 0 0 0 TRUE "a"
"664" 1012 0 35.7860900003905 5 TRUE "a"
"665" 1012 0 37.0043658234421 5 TRUE "a"
"666" 1012 0 0 1 TRUE "a"
"667" 1012 0 36.8492414987435 2 TRUE "a"
"724" 1037 195.540032428225 37.9249974955682 5 TRUE NA
"725" 1037 145.508722030774 12.4571426936558 7 TRUE NA
"726" 1037 0 7.24999976158142 2 TRUE NA
"743" 1049 0 23.191261475255 13 TRUE NA
"744" 1049 0 36.7766615405274 14 TRUE NA
"808" 1111 976.71781851298 30.3802107770074 18 TRUE "b"
"809" 1111 0 26.1917578344546 11 TRUE "b"
"810" 1111 0 33.2736840499075 19 TRUE "b"
