"clustid" "x1" "x2" "x3" "y" "inclusion" "g"
"128" 433 514.496914997497 31.4444444444444 18 990.796695709229 TRUE "b"
"129" 433 189.588804126943 33.0692308866061 13 841.448055267334 TRUE "b"
"130" 433 141.986892568001 24.9325319865986 13 726.7585105896 TRUE "b"
"217" 524 128.029576991335 35.9999994550432 7 453.650146484375 TRUE NA
"218" 524 65.0613831412275 34.9125001430511 8 576.795440673828 TRUE NA
"219" 524 595.943845890803 33.6111115349664 18 1052.95249176025 TRUE NA
"220" 524 52.311156849205 26.3410962407694 9 527.037197113037 TRUE NA
"224" 527 882.53942675373 38.7928573063442 14 968.454967498779 TRUE "b"
"225" 527 14.3005218002763 33.3243406820809 4 451.832946777344 TRUE "b"
"370" 688 0 14 1 27.788761138916 TRUE "b"
"371" 688 22.259335550543 6.59999990463257 2 22.2593355178833 TRUE "b"
"372" 688 483.719808755587 22.7769231062669 13 564.019857406616 TRUE "b"
"636" 934 527.931453976111 28.0599999745687 15 767.297130584717 TRUE "b"
"937" 1249 0 23.7830837401006 10 494.604005813599 TRUE "a"
"938" 1249 113.162318265947 29.4776877866694 10 608.503086090088 TRUE "a"
"1113" 1363 41.6778652352491 21.1707232544141 2 107.202072143555 TRUE NA
"1114" 1363 351.98843311191 26.9666663275825 9 461.086177825928 TRUE NA
"1115" 1363 875.804592566251 28.2808320535385 20 1061.39782714844 TRUE NA
"1193" 1424 154.502377112534 15.75 7 180.851568222046 TRUE "a"
"1194" 1424 431.924276890678 24.4737288093978 8 431.924270629883 TRUE "a"
"1542" 1761 327.52110107005 24.9125001430511 8 374.392776489258 TRUE NA
"1543" 1761 364.396857324061 24.1310814178205 6 364.396854400635 TRUE NA
"1544" 1761 181.500829011669 24.1343927931596 4 181.500827789307 TRUE NA
"1545" 1761 357.79012841174 24.6500000953674 8 357.79012298584 TRUE NA
"1659" 1827 44.2710936226479 12.4333333969116 3 70.1025733947754 TRUE "a"
"1660" 1827 0 12.9000000953674 2 45.8574485778809 TRUE "a"
"1661" 1827 250.133134224606 19.6166792469386 9 369.240112304688 TRUE "a"
"1662" 1827 413.986760394823 25.2888889312744 9 413.986759185791 TRUE "a"
"1834" 2008 0 23.7492069569193 3 150.820688247681 TRUE NA
"1835" 2008 0 0 0 0 TRUE NA
"2190" 2288 14.4295023299219 18.9000002543132 3 98.029317855835 TRUE "a"
"2191" 2288 304.444089231546 27.212500333786 8 404.139915466309 TRUE "a"
"2625" 2646 356.539975444046 20.439999961853 10 396.271482467651 TRUE "b"
"2626" 2646 0 30.6000003814697 2 181.514236450195 TRUE "b"
"2723" 2706 0 0 0 0 TRUE "b"
"2724" 2706 0 0 0 0 TRUE "b"
